Identifier goes here ,Document File Name ,Recommendation text,,Question:,4a-ci-00-20-010.pdf,R42507.pdf,R42507_140108.pdf,os-sramakrishna-022321.pdf,DERCyberPrimer-DraftforReview.pdf,cs2019_0251.pdf
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,"When evaluating IT products and services that use vulnerability names, such as for possible acquisition, organizations should take into consideration the products and services’ support for CVE and/or CCE (as appropriate). ",,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,"Organizations developing their own custom security software that will use vulnerability names should ensure that the software uses authoritative CVE and/or CCE names, as appropriate, and uses CPE names with them when indicating which IT products the CVE and CCE names apply to. ",,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,"Using CVE, CCE, and CPE names supports interoperability with other software and services.",,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,"Organizations should use authoritative CVE and CCE names in their internal vulnerability assessment and reporting, including assessment reports, notifications to system owners of detected vulnerabilities, and alerts identifying the vulnerabilities being targeted by active exploits.",,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,Organizations should also use CPE names when indicating which IT products the vulnerabilities apply to. ,,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,"Organizations should use authoritative CVE and CCE names in their external vulnerability communications, as well as the CPE names for the IT products that the vulnerabilities apply to.",,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,"Organizations should encourage security software vendors to incorporate support for CVE and CCE into their products, as well as encourage all software vendors to include authoritative CVE and CCE names in their product security advisories and other security-related documentation and communications, as well as to reference the CPE names for their products.",,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,"Software developers should participate in the CVE issuance processes to help ensure that CVEs provide the necessary information and are created in a timely manner, such as while planning a public vulnerability announcement or immediately after a vulnerability has been publicly announced.",,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,Authors of CVE names should reference applicable vendor patch identification whenever possible.,,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,Software developers and service providers should incorporate support for CVE and CCE into their products and services that reference publicly known software vulnerabilities. ,,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,"Also, CPE names should be used when indicating which products the CVE and CCE names apply to.",,,,,,,,
,GOVPUB-C13-e1840672bcc4d823d5a2b11dcb45d280.pdf,"Software developers and service providers should incorporate the appropriate authoritative CVE and/or CCE names in their security advisories and other vulnerability-related documentation and communications, as well as the CPE names that indicate which products the CVE and/or CCE names apply to.",,,,,,,,
,,,,,,,,,,
,DHS_Common_Cybersecurity_Vulnerabilities_ICS_2010.pdf,All code should be written to validate input data. ,,,,,,,,
,DHS_Common_Cybersecurity_Vulnerabilities_ICS_2010.pdf,"All input should be validated, not just those proven to cause buffer overflows.",,,,,,,,
,DHS_Common_Cybersecurity_Vulnerabilities_ICS_2010.pdf,Every programmer should be trained in secure coding practices.,,,,,,,,
,DHS_Common_Cybersecurity_Vulnerabilities_ICS_2010.pdf,All code should be reviewed and tested for input functions that could be susceptible to buffer overflow attacks.,,,,,,,,
,DHS_Common_Cybersecurity_Vulnerabilities_ICS_2010.pdf,"All input should be validated, not just those proven to cause buffer overflows.",,,,,,,,
,DHS_Common_Cybersecurity_Vulnerabilities_ICS_2010.pdf,Input values should be validated.,,,,,,,,
,DHS_Common_Cybersecurity_Vulnerabilities_ICS_2010.pdf,Network data value and integrity checking should be implemented.,,,,,,,,
